M050-kode;M050-navn;M050-kortkode
NiN-3.0-T-C-PE-NA-MB-TM02-M050-02;sterkt endret skogsmark i mellomsuksesjonsstadium;TM02-M050-02
NiN-3.0-T-C-PE-NA-MB-TM03-M050-01;sterkt endret torvmark;TM03-M050-01
NiN-3.0-T-C-PE-NA-MB-TM03-M050-02;sterkt kalkrik grotte og overheng;TM03-M050-02
NiN-3.0-T-C-PE-NA-MB-TM03-M050-02;sterkt kalkrik kystlynghei;TM03-M050-02
NiN-3.0-T-C-PE-NA-MB-TM03-M050-02;sterkt kalkrik ny eng med semi-naturlig preg;TM03-M050-02
NiN-3.0-T-C-PE-NA-MB-TM03-M050-03;sterkt endret fastmark av grovt organisk avfall;TM03-M050-03
NiN-3.0-T-C-PE-NA-MB-TM03-M050-04;sterkt kalkrik oppfrysingsmark;TM03-M050-04
NiN-3.0-T-C-PE-NA-MB-TM04-M050-01;sterkt kalkrik rasmark;TM04-M050-01
NiN-3.0-T-C-PE-NA-MB-TM04-M050-02;sterkt kalkrikt moderat til ekstremt snøleie;TM04-M050-02
NiN-3.0-T-C-PE-NA-MB-TM05-M050-01;sterkt tråkkpreget våtmark;TM05-M050-01
NiN-3.0-T-C-PE-NA-MB-TM06-M050-01;strandberg;TM06-M050-01
NiN-3.0-T-C-PE-NA-MB-TM06-M050-02;strandeng;TM06-M050-02
NiN-3.0-T-C-PE-NA-MB-TN01-M050-01;strandsump-skogsmark;TN01-M050-01
NiN-3.0-T-C-PE-NA-MB-TN02-M050-01;svært kalkfattig afotisk innsjøbunn;TN02-M050-01
NiN-3.0-T-C-PE-NA-MB-TN03-M050-01;svært kalkfattig fast strandkant-innsjøbunn;TN03-M050-01
NiN-3.0-T-C-PE-NA-MB-TO01-M050-01;svært kalkfattig fastbunn i klar elv;TO01-M050-01
NiN-3.0-T-C-PE-NA-MB-TO02-M050-01;svært kalkfattig innsjø-sedimentbunn av silt til stein i strandkant og plantebeltet;TO02-M050-01
NiN-3.0-T-C-PE-NA-MB-TO03-M050-01;svært kalkfattig steinbunn i klar elv;TO03-M050-01
NiN-3.0-T-C-PE-NA-MB-TO04-M050-01;svært kalkfattig til litt kalkrik mykmatte til øvre tuenivå;TO04-M050-01
NiN-3.0-T-C-PE-NA-MB-VA01-M050-01;svært kalkfattig til litt kalkrik myr- og sumpskogsmark;VA01-M050-01
NiN-3.0-T-C-PE-NA-MB-VA01-M050-02;svært kalkfattig til noe kalkrikt nakent berg;VA01-M050-02
NiN-3.0-T-C-PE-NA-MB-VB01-M050-01;svært kalkrik fast strandkant-innsjøbunn;VB01-M050-01
NiN-3.0-T-C-PE-NA-MB-VB01-M050-02;svært kalkrik fastbunn i klar elv;VB01-M050-02
NiN-3.0-T-C-PE-NA-MB-VC01-M050-01;svært kalkrik helofytt-ferskvannssump;VC01-M050-01
NiN-3.0-T-C-PE-NA-MB-VC02-M050-01;svært kalkrik innsjø-sedimentbunn av silt til stein i strandkant og plantebeltet;VC02-M050-01
NiN-3.0-T-C-PE-NA-MB-VC03-M050-01;svært kalkrik undervannseng i innsjø;VC03-M050-01
NiN-3.0-T-C-PE-NA-MB-VC04-M050-01;svært sterkt til disruptivt jordvarmepåvirket varm havkilde;VC04-M050-01
NiN-3.0-T-C-PE-NA-MB-VC05-M050-01;svært til ekstremt eksponert eufotisk fast saltvannsbunn;VC05-M050-01
NiN-3.0-T-C-PE-NA-MB-VE01-M050-01;synkehull i permafrost;VE01-M050-01
NiN-3.0-T-C-PE-NA-MB-VF01-M050-01;taretrålingsbunn;VF01-M050-01
NiN-3.0-T-C-PE-NA-MB-VF02-M050-01;temmelig til ekstremt kalkrik åpen grunnlendt mark;VF02-M050-01
NiN-3.0-T-C-PE-NA-MB-VG01-M050-01;temmelig til ekstremt kalkrikt mattenivå i myrkant til nedre tuenivå;VG01-M050-01
NiN-3.0-T-C-PE-NA-MB-VG02-M050-01;torvmarkskilde;VG02-M050-01
NiN-3.0-T-C-PE-NA-MB-VI01-M050-01;turbid elvesedimentbunn;VI01-M050-01
NiN-3.0-T-C-PE-NA-MB-VK01-M050-01;turbid eufotisk fast innsjøbunn;VK01-M050-01
NiN-3.0-T-C-PE-NA-MB-VK02-M050-01;turbid fast elvebunn;VK02-M050-01
NiN-3.0-T-C-PE-NA-MB-VM01-M050-01;turbid innsjø-sedimentbunn;VM01-M050-01
NiN-3.0-T-C-PE-NA-MB-VM02-M050-01;turbid minstevannførings-strekning i elv ;VM02-M050-01
