M020-kode;M020-navn
NiN-3.0-T-C-PE-NA-MB-OA02-M020-13;turbid elvesedimentbunn
NiN-3.0-T-C-PE-NA-MB-OB01-M020-01;kalkfattig undervannseng i elv
NiN-3.0-T-C-PE-NA-MB-OB01-M020-02;kalkrik undervannseng i elv
NiN-3.0-T-C-PE-NA-MB-OC01-M020-01;kalkfattig svak ferskvannskildebunn
NiN-3.0-T-C-PE-NA-MB-OC01-M020-02;kalkfattig sterk ferskvannskildebunn
NiN-3.0-T-C-PE-NA-MB-OC02-M020-01;silt- til steinbunn i varm ferskvannskilde
NiN-3.0-T-C-PE-NA-MB-OC02-M020-02;stein- til storblokket bunn i varm ferskvannskilde
NiN-3.0-T-C-PE-NA-MB-OC02-M020-03;svovelpåvirket bunn i varm ferskvannskilde
NiN-3.0-T-C-PE-NA-MB-OC03-M020-01;kalkfattig dy- og gytjebunn i elv
NiN-3.0-T-C-PE-NA-MB-OC03-M020-02;kalkrik dy- og gytjebunn i elv
NiN-3.0-T-C-PE-NA-MB-OG01-M020-01;ny elvebunn
NiN-3.0-T-C-PE-NA-MB-OM01-M020-01;kalkfattig kronisk fysisk forstyrret elvebunn
NiN-3.0-T-C-PE-NA-MB-OM01-M020-02;kalkrik kronisk fysisk forstyrret elvebunn
NiN-3.0-T-C-PE-NA-MB-OM01-M020-03;turbid minstevannførings-strekning i elv 
NiN-3.0-T-C-PE-NA-MB-OM02-M020-01;kronisk kjemisk påvirket elvebunn
NiN-3.0-T-C-PE-NA-MB-OM02-M020-02;kronisk forsuret elvebunn
NiN-3.0-T-C-PE-NA-MB-TA01-M020-01;svært til noe kalkfattig nakent berg
NiN-3.0-T-C-PE-NA-MB-TA01-M020-02;noe kalkrikt nakent berg
NiN-3.0-T-C-PE-NA-MB-TA01-M020-03;klart til ekstremt kalkrikt nakent berg
NiN-3.0-T-C-PE-NA-MB-TA02-M020-01;kalkfattig åpen grunnlendt mark
NiN-3.0-T-C-PE-NA-MB-TA02-M020-02;intermediær til litt kalkrik åpen grunnlendt mark
NiN-3.0-T-C-PE-NA-MB-TA02-M020-03;temmelig til ekstremt kalkrik åpen grunnlendt mark
NiN-3.0-T-C-PE-NA-MB-TA03-M020-01;kalkfattig leside
NiN-3.0-T-C-PE-NA-MB-TA03-M020-02;intermediær til litt kalkrik leside
NiN-3.0-T-C-PE-NA-MB-TA03-M020-03;temmelig til ekstremt kalkrik leside
NiN-3.0-T-C-PE-NA-MB-TA03-M020-04;kalkfattig fjell-lavhei og -lynghei
NiN-3.0-T-C-PE-NA-MB-TA03-M020-05;intermediær til litt kalkrik fjell-lavhei og -lynghei
NiN-3.0-T-C-PE-NA-MB-TA03-M020-06;temmelig til ekstremt kalkrik fjell-lavhei og -lynghei
NiN-3.0-T-C-PE-NA-MB-TA03-M020-07;saltanriket fjell-lavhei og -lynghei
NiN-3.0-T-C-PE-NA-MB-TA04-M020-01;kalkfattig arktisk-alpin grasmark
NiN-3.0-T-C-PE-NA-MB-TA04-M020-02;intermediær til litt kalkrik arktisk-alpin grasmark
NiN-3.0-T-C-PE-NA-MB-TA04-M020-03;temmelig til ekstremt kalkrik arktisk-alpin grasmark
NiN-3.0-T-C-PE-NA-MB-TB01-M020-01;blåbær-bærlyngskog
NiN-3.0-T-C-PE-NA-MB-TB01-M020-02;lågurt-bærlyng-lågurtskog
NiN-3.0-T-C-PE-NA-MB-TB01-M020-03;frisk kalkskog og kalk-bærlyngskog
NiN-3.0-T-C-PE-NA-MB-TB01-M020-04;lyng- og lavskog
NiN-3.0-T-C-PE-NA-MB-TB01-M020-05;lyng- og lav-lågurtskog
NiN-3.0-T-C-PE-NA-MB-TB01-M020-06;kalklyng- og kalklavskog
NiN-3.0-T-C-PE-NA-MB-TC01-M020-01;kalkfattig til litt kalkrikt strandberg
NiN-3.0-T-C-PE-NA-MB-TC01-M020-02;sterkt kalkrikt strandberg
NiN-3.0-T-C-PE-NA-MB-TC02-M020-01;knapt uttørkingseksponert kalkfattig grotte og overheng
NiN-3.0-T-C-PE-NA-MB-TC02-M020-02;knapt uttørkingseksponert intermediært til litt kalkrik grotte og overheng
NiN-3.0-T-C-PE-NA-MB-TC02-M020-03;knapt uttørkingseksponert sterkt kalkrik grotte og overheng
NiN-3.0-T-C-PE-NA-MB-TC02-M020-04;uttørkingseksponert kalkfattig overheng
NiN-3.0-T-C-PE-NA-MB-TC02-M020-05;uttørkingseksponert intermediært til litt kalkrikt overheng
NiN-3.0-T-C-PE-NA-MB-TC02-M020-06;uttørkingseksponert sterkt kalkrikt overheng
NiN-3.0-T-C-PE-NA-MB-TC03-M020-01;leirestrand i geolittoral
NiN-3.0-T-C-PE-NA-MB-TC03-M020-02;siltstrand i geolittoral
NiN-3.0-T-C-PE-NA-MB-TC03-M020-03;sand-, skjellsand-, grus-, og ruglebunn-strand i geo- til supralittoral
NiN-3.0-T-C-PE-NA-MB-TC03-M020-04;stein- til blokkstrand i geo- til supralittoral
NiN-3.0-T-C-PE-NA-MB-TC03-M020-05;storblokket strand i geo- til supralittoral
